constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,1}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,2}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,3}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,4}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,5}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,6}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,7}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,8}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,9}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,10}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,11}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,12}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,13}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,14}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,15}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,19}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,20}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,26}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,33}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,40}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,41}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,43}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,93}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,95}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,96}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,97}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,98}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,99}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,102}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,103}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,109}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,112}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,116}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,182}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,186}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,187}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,190}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,193}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,194}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,195}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,206}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,209}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,240}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,241}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,244}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,245}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,247}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,249}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,250}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,252}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,254}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,259}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,262}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,264}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,265}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,266}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,267}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,268}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,269}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,273}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,275}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,276}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,280}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,334}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,345}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,347}, 1 ) );
constraints.emplace_back( make_shared< LinearGeq >( std::vector<int>{0,351}, 1 ) );
